ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Total_Children,Total_Spending,Customer_Since,Age_Group,AcceptedAny,Cluster,PCA1,PCA2,Segment
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52,1,67,4461,50-59,0,2,-1.4395638744035166,-0.8863236537801458,Digital Buyers
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82,0,902,4836,70+,1,0,0.653679000684491,0.8403001581077644,Premium Customers
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,45,1,1395,4749,40-49,0,3,1.7904703621353224,0.03198529557911837,Dormant Customers
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40,1,53,4797,30-39,0,2,-2.4785288421202054,-0.21652911369349645,Digital Buyers
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,68,1,22,4875,60-69,0,1,-1.9182325336625816,-1.076947287217783,Budget Shoppers
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50,1,31,4593,40-49,0,1,-2.2856203476308106,-0.1773656458601717,Budget Shoppers
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,49,0,984,4324,40-49,0,3,1.815686811993757,-1.7888301310237755,Dormant Customers
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,29,0,122,4920,18-29,1,1,-2.954482585616119,0.46671652860454926,Budget Shoppers
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,57,1,55,4724,50-59,0,2,-2.163249695369107,-0.09907088975352164,Digital Buyers
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71,2,1319,4921,70+,0,0,1.6964516371086988,3.5932645173682403,Premium Customers
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68,1,507,4371,60-69,0,3,1.5273589548448947,-0.8713633497039766,Dormant Customers
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61,0,1693,5010,60-69,0,3,3.2713531365038837,-0.34270519847503234,Dormant Customers
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,1,72,4866,40-49,0,2,-1.8439303762309418,-0.3321868462086178,Digital Buyers
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48,0,1617,4345,40-49,1,3,2.3526076831271823,-1.5320019207792759,Dormant Customers
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47,2,606,4705,40-49,0,0,1.0741220812988348,1.2945990114519563,Premium Customers
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,70,0,1957,4910,60-69,1,3,3.623314095165917,-1.160460774384911,Dormant Customers
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59,0,1093,4776,50-59,1,3,1.9906852405015796,-0.6481054617161012,Dormant Customers
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,37,1,29,4385,30-39,0,1,-1.5634968778827016,-1.7218073650004222,Budget Shoppers
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57,1,518,4441,50-59,0,0,0.2968120386356312,1.240275594683354,Premium Customers
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43,0,1438,4683,40-49,1,3,2.402344108211304,-1.5645873038795302,Dormant Customers
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,50,2,612,4983,40-49,0,3,1.4709050398759076,0.2954129990332128,Dormant Customers
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,73,1,884,4819,70+,0,0,1.47051249192655,2.0049884279284225,Premium Customers
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74,1,606,4706,70+,0,3,1.3668062112957855,0.22981942441951744,Dormant Customers
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,77,0,1076,4528,70+,0,3,1.4564735388770962,-0.09838977166104353,Dormant Customers
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,54,1,34,4727,50-59,1,2,-2.2872844333582685,-0.8163212283895641,Digital Buyers
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58,2,11,4372,50-59,0,1,-2.113431485880152,-0.7370568719009786,Budget Shoppers
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,46,1,1274,4425,40-49,1,3,2.8734060997912465,0.5235291413147289,Dormant Customers
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,67,1,653,4598,60-69,0,3,1.5366896124555742,-0.32636954036108046,Dormant Customers
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,55,3,1562,4770,50-59,0,0,0.9101189084014184,1.204688210517611,Premium Customers
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,71,0,1253,4979,70+,0,3,1.4335746190498317,-0.01364627559466929,Dormant Customers
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,66,1,863,4792,60-69,0,0,2.1264918773871706,2.353155009369167,Premium Customers
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,50,2,661,4773,40-49,1,0,0.8114101069819285,2.121635954612949,Premium Customers
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,73,0,65,4383,70+,0,2,-0.7916358168424652,-1.2605267034839083,Digital Buyers
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48,1,13,4880,40-49,0,2,-1.8669924317487343,-1.1421047867134997,Digital Buyers
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,53,0,1890,4994,50-59,1,3,1.933314205107569,-0.2163083413817565,Dormant Customers
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,49,0,2209,4948,40-49,1,3,2.655318502397022,-1.0353721249108723,Dormant Customers
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,49,0,18,4621,40-49,0,1,-1.7392360735521482,-1.7467263246399438,Budget Shoppers
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,60,0,692,4866,50-59,1,0,0.8709992778557233,1.5497668615081182,Premium Customers
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,40,1,165,4992,30-39,0,2,-1.9410603051051738,0.7229439417830555,Digital Buyers
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,1,16,4694,50-59,0,1,-2.285533493808458,-0.7448264370031585,Budget Shoppers
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,52,1,79,4684,50-59,0,2,-1.9807534998935892,0.30055352486184994,Digital Buyers
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,0,318,4737,60-69,0,2,-0.7598207037252867,-1.2965188255062403,Digital Buyers
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,38,0,778,4447,30-39,0,3,2.2228317345693114,-1.5856397259925172,Dormant Customers
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,65,2,56,4645,60-69,0,2,-1.7765858582098426,-0.2309952763609753,Digital Buyers
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,55,2,151,4671,50-59,1,2,-1.4942023545898984,1.1223864904210832,Digital Buyers
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,68,1,372,4355,60-69,1,0,-0.12386888315063133,1.491347097454,Premium Customers
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,52,0,1366,4371,50-59,1,3,2.100113687096056,-1.1141040508404907,Dormant Customers
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,58,1,194,4482,50-59,0,2,-0.08037310781736073,-1.540693469641374,Digital Buyers
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53,1,32,4421,50-59,0,2,-1.7474227916295013,-0.8502288848976379,Digital Buyers
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,55,1,43,4359,50-59,0,2,-1.6661813889274857,-0.04003455112393444,Digital Buyers
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,42,1,45,4361,40-49,0,1,-1.910388854657183,-0.9516823023636446,Budget Shoppers
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,65,1,606,4907,60-69,1,0,0.2465719634333282,1.7758550692568187,Premium Customers
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,53,2,63,4767,50-59,0,1,-1.397408295161176,-0.3120406447027257,Budget Shoppers
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,74,0,978,4533,70+,1,3,2.7265109289447764,-0.5942114666712814,Dormant Customers
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,42,0,410,4697,40-49,0,1,-0.0369546485025531,-0.16674997282323897,Budget Shoppers
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,65,1,72,4664,60-69,0,1,-1.5062588116121942,0.08625243187108743,Budget Shoppers
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,66,1,55,4414,60-69,0,1,-1.51693789567714,-0.2618807688317611,Budget Shoppers
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,46,1,1169,4758,40-49,0,3,2.601018388151915,0.5836160625012975,Dormant Customers
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,80,0,1120,4731,70+,0,3,1.579695402435342,-0.15696681736430168,Dormant Customers
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,66,0,1097,4375,60-69,1,3,1.845349997811589,-1.5395375208107718,Dormant Customers
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,46,1,29,4524,40-49,0,2,-1.9635365795210897,-1.280621988596591,Digital Buyers
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,61,2,187,4601,60-69,0,1,-0.927419500916051,0.9689428508753505,Budget Shoppers
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,56,2,910,4835,50-59,0,0,1.2420684011671477,1.3280819704488043,Premium Customers
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,47,1,145,4880,40-49,0,1,-1.6129113343784809,-0.16042322826513955,Budget Shoppers
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,65,0,850,4892,60-69,0,3,1.629024963097502,-1.0555631143481023,Dormant Customers
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,46,1,969,4562,40-49,0,3,2.1762448640100374,-0.6564555868682561,Dormant Customers
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,34,0,1820,4919,30-39,1,3,0.853670370956542,0.30943088913798955,Dormant Customers
3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,62,1,608,4327,60-69,1,0,0.8909054760850329,1.2152911624175855,Premium Customers
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,34,0,730,4866,30-39,1,3,2.06468285540928,-0.8902664417811937,Dormant Customers
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,45,1,551,4887,40-49,0,0,-0.44006496300817305,1.5675286620604496,Premium Customers
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,63,2,114,4615,60-69,0,1,-1.1077176466065628,-0.35400649120915273,Budget Shoppers
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,55,0,1724,4479,50-59,1,3,2.462388354517513,-1.9050553247076207,Dormant Customers
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,47,1,577,4818,40-49,0,0,-0.6290119466632441,2.446106336072241,Premium Customers
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,58,2,81,4676,50-59,0,2,-1.6484343457159234,-0.7494484765851444,Digital Buyers
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,56,1,33,4550,50-59,0,1,-1.9739298283766333,-0.34948440501365974,Budget Shoppers
9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,72,1,660,4697,70+,0,0,1.3518203080063755,1.0670950188473494,Premium Customers
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,58,1,80,4448,50-59,1,1,-1.526651221492278,-0.15643337407576952,Budget Shoppers
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,40,2,30,4621,30-39,0,2,-2.50494282264319,-0.559506143472218,Digital Buyers
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,49,1,43,4756,40-49,0,2,-2.066229612820021,-0.8719326239556369,Digital Buyers
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,42,0,1135,4797,40-49,1,3,3.345741124746917,-1.3142656432187891,Dormant Customers
